Year,GMSL,SigmaError
1957.166667,-76.07243521,17.00211953
1957.25,-76.95878263,16.98905208
1957.333333,-76.98801801,16.97598505
1957.416667,-74.94177743,16.96343143
1957.5,-77.54857426,16.94344493
1957.583333,-75.81769389,16.93034863
1957.666667,-72.98588388,16.91727829
1957.75,-77.02110835,16.90505099
1957.833333,-73.58916768,16.89111778
1957.916667,-75.71129886,16.87774302
1958,-75.21030248,16.86375055
1958.083333,-76.21817317,16.84898553
1958.166667,-75.23043145,16.83592065
1958.25,-78.97950094,16.82326325
1958.333333,-75.14477768,16.81133082
1958.416667,-76.55922944,16.79822612
1958.5,-75.939008,16.78493363
1958.583333,-77.81499358,16.77058374
1958.666667,-76.96513982,16.75841258
1958.75,-76.38790671,16.74497019
1958.833333,-75.82198248,16.73021819
1958.916667,-74.11158501,16.71663954
1959,-73.41550109,16.69997322
1959.083333,-79.62153027,16.68654429
1959.166667,-80.23042323,16.67266288
1959.25,-75.24605693,16.65903326
1959.333333,-76.2857464,16.64515302
1959.416667,-76.59951355,16.6306916
1959.5,-74.75895211,16.61681184
1959.583333,-75.10430442,16.60433159
1959.666667,-74.26227453,16.5879127
1959.75,-73.42173295,16.57493069
1959.833333,-75.11291964,16.5618685
1959.916667,-75.79503336,16.54961373
1960,-74.27412228,16.53719004
1960.083333,-76.59894584,16.52402682
1960.166667,-75.86030259,16.51103288
1960.25,-76.97988242,16.49901874
1960.333333,-75.97369361,16.48596723
1960.416667,-75.2585257,16.47184746
1960.5,-76.66731829,16.45782282
1960.583333,-74.80444358,16.44476339
1960.666667,-75.87449865,16.4319832
1960.75,-75.82588073,16.42225085
1960.833333,-77.13813523,16.4084313
1960.916667,-75.78426529,16.39223143
1961,-74.9713627,16.37778163
1961.083333,-77.3809853,16.36374306
1961.166667,-75.27421994,16.35068759
1961.25,-76.14395859,16.33762958
1961.333333,-77.82475507,16.32471278
1961.416667,-77.42819703,16.31103539
1961.5,-76.28095071,16.29846525
1961.583333,-75.9668157,16.28517858
1961.666667,-77.0158822,16.27221593
1961.75,-76.79336049,16.26105228
1961.833333,-78.00032192,16.24926788
1961.916667,-76.3587339,16.23481625
1962,-78.30684772,16.21556393
1962.083333,-76.16605638,16.20847216
1962.166667,-75.44564135,16.19558938
1962.25,-77.89905366,16.17359477
1962.333333,-76.95875584,16.16031602
1962.416667,-76.30536562,16.14652991
1962.5,-75.16304131,16.1328286
1962.583333,-77.02186958,16.12163332
1962.666667,-76.13917749,16.11422971
1962.75,-77.59901189,16.09856185
1962.833333,-75.37086726,16.08557273
1962.916667,-75.23596279,16.07172652
1963,-74.67896422,16.04991253
1963.083333,-75.99430561,16.03779668
1963.166667,-77.36365821,16.02481926
1963.25,-78.20040686,16.00914603
1963.333333,-79.29523297,15.99478744
1963.416667,-74.62792494,15.98091904
1963.5,-76.90250052,15.96663767
1963.583333,-74.93605514,15.95453844
1963.666667,-74.85826671,15.94150734
1963.75,-75.45133884,15.92799636
1963.833333,-74.56464705,15.91354063
1963.916667,-75.39412443,15.90002617
1964,-76.5101737,15.88245733
1964.083333,-77.05762019,15.87034598
1964.166667,-77.51890962,15.85612155
1964.25,-76.58606402,15.8421964
1964.333333,-76.87086952,15.83091901
